"Registry Time","Total Events","Opens","Closes","Reads","Writes","Other","Path"
"0.0242697","4,096","1,116","548","1,080","354","998","<Total>"
"0.0012183","318","6","6","0","6","300","HKCR"
"0.0001011","14","4","4","0","4","2","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}"
"0.0000097","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\(Default)"
"0.0000064","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\ActivateAtStorage"
"0.0000210","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\AppIDFlags"
"0.0000063","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\AuthenticationLevel"
"0.0000130","4","0","0","4","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\DllSurrogate"
"0.0000189","6","0","0","6","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\LaunchPermission"
"0.0000054","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\LoadUserSettings"
"0.0000055","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\LocalService"
"0.0000055","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\MGOTFlags"
"0.0000056","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\PreferredServerBitness"
"0.0000055","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\ProcessMitigationPolicy"
"0.0000053","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\ProtectionLevel"
"0.0000054","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\RemoteServerName"
"0.0000058","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\ROTFlags"
"0.0000055","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\RunAs"
"0.0000054","2","0","0","2","0","0","HKCR\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\SRPTrustLevel"
"0.0000563","8","8","0","0","0","0","HKCR\AppID\CCSClient.exe"
"0.0002555","104","16","16","0","16","56","HKCR\WOW6432Node\CLSID\{1B1CAD8C-2DAB-11D2-B604-00104B703EFD}"
"0.0000676","16","0","0","16","0","0","HKCR\WOW6432Node\CLSID\{1B1CAD8C-2DAB-11D2-B604-00104B703EFD}\(Default)"
"0.0000265","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{1B1CAD8C-2DAB-11D2-B604-00104B703EFD}\ActivateOnHostFlags"
"0.0000115","4","0","0","4","0","0","HKCR\WOW6432Node\CLSID\{1B1CAD8C-2DAB-11D2-B604-00104B703EFD}\AppID"
"0.0000154","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{1B1CAD8C-2DAB-11D2-B604-00104B703EFD}\Elevation"
"0.0000296","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{1B1CAD8C-2DAB-11D2-B604-00104B703EFD}\InprocHandler"
"0.0000345","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{1B1CAD8C-2DAB-11D2-B604-00104B703EFD}\InprocHandler32"
"0.0000495","16","8","8","0","0","0","HKCR\WOW6432Node\CLSID\{1B1CAD8C-2DAB-11D2-B604-00104B703EFD}\InprocServer32"
"0.0000892","24","0","0","24","0","0","HKCR\WOW6432Node\CLSID\{1B1CAD8C-2DAB-11D2-B604-00104B703EFD}\InprocServer32\(Default)"
"0.0000235","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{1B1CAD8C-2DAB-11D2-B604-00104B703EFD}\InprocServer32\InprocServer32"
