#TYPE Selected.System.ServiceProcess.ServiceController
"StartType","Name"
"Manual","AJRouter"
"Manual","ALG"
"Manual","AppIDSvc"
"Manual","Appinfo"
"Manual","AppMgmt"
"Manual","AppReadiness"
"Disabled","AppVClient"
"Manual","AppXSvc"
"Automatic","AudioEndpointBuilder"
"Automatic","Audiosrv"
"Manual","AxInstSV"
"Manual","BDESVC"
"Automatic","BFE"
"Manual","BITS"
"Automatic","BrokerInfrastructure"
"Manual","Browser"
"Manual","BthHFSrv"
"Manual","bthserv"
"Automatic","CDPSvc"
"Automatic","CDPUserSvc_2efa8"
"Manual","CertPropSvc"
"Manual","ClipSVC"
"Manual","COMSysApp"
"Automatic","CoreMessagingRegistrar"
"Automatic","CryptSvc"
"Manual","CscService"
"Automatic","DcomLaunch"
"Manual","DcpSvc"
"Manual","defragsvc"
"Manual","DeviceAssociationService"
"Manual","DeviceInstall"
"Manual","DevQueryBroker"
"Automatic","Dhcp"
"Manual","diagnosticshub.standardcollector.service"
"Automatic","DiagTrack"
"Manual","DmEnrollmentSvc"
"Manual","dmwappushservice"
"Automatic","Dnscache"
"Automatic","DoSvc"
"Manual","dot3svc"
"Automatic","DPS"
"Manual","DsmSvc"
"Manual","DsSvc"
"Manual","Eaphost"
"Manual","EFS"
"Manual","embeddedmode"
"Manual","EntAppSvc"
"Automatic","EventLog"
"Automatic","EventSystem"
"Manual","Fax"
"Manual","fdPHost"
"Manual","FDResPub"
"Manual","fhsvc"
"Automatic","FontCache"
"Manual","FrameServer"
"Automatic","gpsvc"
"Manual","hidserv"
"Manual","HomeGroupListener"
"Manual","HomeGroupProvider"
"Manual","icssvc"
"Manual","IKEEXT"
"Automatic","iphlpsvc"
"Manual","irmon"
"Manual","KeyIso"
"Manual","KtmRm"
"Automatic","LanmanServer"
"Automatic","LanmanWorkstation"
"Manual","lfsvc"
"Manual","LicenseManager"
"Manual","lltdsvc"
"Manual","lmhosts"
"Automatic","LSM"
"Automatic","MapsBroker"
"Manual","MessagingService_2efa8"
"Automatic","MpsSvc"
"Manual","MSDTC"
"Manual","MSiSCSI"
"Manual","msiserver"
"Manual","NcaSvc"
"Manual","NcbService"
"Manual","NcdAutoSetup"
"Manual","Netlogon"
"Manual","Netman"
"Manual","netprofm"
"Manual","NetSetupSvc"
"Disabled","NetTcpPortSharing"
"Manual","NgcCtnrSvc"
"Manual","NgcSvc"
"Automatic","NlaSvc"
"Automatic","nsi"
"Automatic","OneSyncSvc_2efa8"
"Manual","p2pimsvc"
"Manual","p2psvc"
"Manual","PcaSvc"
"Manual","PeerDistSvc"
"Manual","PhoneSvc"
"Manual","PimIndexMaintenanceSvc_2efa8"
"Manual","pla"
"Manual","PlugPlay"
"Manual","PNRPAutoReg"
"Manual","PNRPsvc"
"Manual","PolicyAgent"
"Automatic","Power"
"Manual","PrintNotify"
"Automatic","ProfSvc"
"Manual","QWAVE"
"Manual","RasAuto"
"Manual","RasMan"
"Disabled","RemoteAccess"
"Disabled","RemoteRegistry"
"Manual","RetailDemo"
"Manual","RmSvc"
