#TYPE Selected.System.ServiceProcess.ServiceController
"StartType","Name"
"Automatic","ADWS"
"Manual","AJRouter"
"Manual","ALG"
"Manual","AppIDSvc"
"Manual","Appinfo"
"Manual","AppMgmt"
"Manual","AppReadiness"
"Disabled","AppVClient"
"Manual","AppXSvc"
"Manual","AudioEndpointBuilder"
"Manual","Audiosrv"
"Manual","AxInstSV"
"Automatic","BFE"
"Manual","BITS"
"Automatic","BrokerInfrastructure"
"Disabled","Browser"
"Manual","bthserv"
"Automatic","CDPSvc"
"Automatic","CDPUserSvc_11d568"
"Manual","CertPropSvc"
"Manual","ClipSVC"
"Manual","COMSysApp"
"Automatic","CoreMessagingRegistrar"
"Automatic","CryptSvc"
"Disabled","CscService"
"Automatic","DcomLaunch"
"Manual","DcpSvc"
"Manual","defragsvc"
"Manual","DeviceAssociationService"
"Manual","DeviceInstall"
"Manual","DevQueryBroker"
"Automatic","Dfs"
"Automatic","DFSR"
"Automatic","Dhcp"
"Manual","diagnosticshub.standardcollector.service"
"Automatic","DiagTrack"
"Manual","DmEnrollmentSvc"
"Manual","dmwappushservice"
"Automatic","DNS"
"Automatic","Dnscache"
"Manual","dot3svc"
"Automatic","DPS"
"Manual","DsmSvc"
"Manual","DsRoleSvc"
"Manual","DsSvc"
"Manual","Eaphost"
"Manual","EFS"
"Manual","embeddedmode"
"Manual","EntAppSvc"
"Automatic","EventLog"
"Automatic","EventSystem"
"Manual","fdPHost"
"Manual","FDResPub"
"Automatic","FontCache"
"Manual","FrameServer"
"Automatic","gpsvc"
"Manual","hidserv"
"Manual","HvHost"
"Manual","icssvc"
"Manual","IKEEXT"
"Automatic","iphlpsvc"
"Automatic","IsmServ"
"Automatic","Kdc"
"Manual","KdsSvc"
"Manual","KeyIso"
"Manual","KPSSVC"
"Manual","KtmRm"
"Automatic","LanmanServer"
"Automatic","LanmanWorkstation"
"Manual","lfsvc"
"Manual","LicenseManager"
"Manual","lltdsvc"
"Manual","lmhosts"
"Automatic","LSM"
"Automatic","MapsBroker"
"Automatic","MpsSvc"
"Automatic","MSDTC"
"Manual","MSiSCSI"
"Manual","msiserver"
"Manual","NcaSvc"
"Manual","NcbService"
"Automatic","Netlogon"
"Manual","Netman"
"Manual","netprofm"
"Manual","NetSetupSvc"
"Disabled","NetTcpPortSharing"
"Manual","NgcCtnrSvc"
"Manual","NgcSvc"
"Automatic","NlaSvc"
"Automatic","nsi"
"Automatic","NTDS"
"Disabled","NtFrs"
"Automatic","OneSyncSvc_11d568"
"Automatic","PcaSvc"
"Manual","PerfHost"
"Manual","PhoneSvc"
"Manual","PimIndexMaintenanceSvc_11d568"
"Manual","pla"
"Manual","PlugPlay"
"Manual","PolicyAgent"
"Automatic","Power"
"Manual","PrintNotify"
"Automatic","ProfSvc"
"Manual","QWAVE"
"Manual","RasAuto"
"Manual","RasMan"
"Disabled","RemoteAccess"
"Automatic","RemoteRegistry"
"Manual","RmSvc"
"Automatic","RpcEptMapper"
"Manual","RpcLocator"
"Automatic","RpcSs"
"Manual","RSoPProv"
"Manual","sacsvr"
"Automatic","SamSs"
"Disabled","SCardSvr"
"Manual","ScDeviceEnum"
"Automatic","Schedule"
"Manual","SCPolicySvc"
"Manual","seclogon"
"Automatic","SENS"
"Manual","SensorDataService"
"Manual","SensorService"
"Manual","SensrSvc"
"Manual","SessionEnv"
"Manual","SharedAccess"
"Automatic","ShellHWDetection"
"Manual","smphost"
"Manual","SNMPTRAP"
"Automatic","Spooler"
"Automatic","sppsvc"
"Disabled","SSDPSRV"
"Manual","SstpSvc"
"Manual","StateRepository"
"Manual","stisvc"
"Manual","StorSvc"
"Manual","svsvc"
"Manual","swprv"
"Manual","SysMain"
"Automatic","SystemEventsBroker"
"Manual","TabletInputService"
"Manual","TapiSrv"
"Manual","TermService"
"Automatic","Themes"
"Manual","TieringEngineService"
"Automatic","tiledatamodelsvc"
"Manual","TimeBrokerSvc"
"Manual","TrkWks"
"Manual","TrustedInstaller"
"Disabled","tzautoupdate"
"Automatic","UALSVC"
"Disabled","UevAgentService"
"Manual","UI0Detect"
"Manual","UmRdpService"
"Manual","UnistoreSvc_11d568"
"Disabled","upnphost"
"Manual","UserDataSvc_11d568"
"Automatic","UserManager"
"Manual","UsoSvc"
"Manual","VaultSvc"
"Manual","vds"
"Manual","vmicguestinterface"
"Manual","vmicheartbeat"
"Manual","vmickvpexchange"
"Manual","vmicrdv"
"Manual","vmicshutdown"
"Manual","vmictimesync"
"Manual","vmicvmsession"
"Manual","vmicvss"
"Manual","VSS"
"Automatic","W32Time"
"Manual","WalletService"
"Automatic","WbioSrvc"
"Automatic","Wcmsvc"
"Manual","WdiServiceHost"
"Manual","WdiSystemHost"
"Manual","WdNisSvc"
"Manual","Wecsvc"
"Manual","WEPHOSTSVC"
"Manual","wercplsupport"
"Manual","WerSvc"
"Manual","WiaRpc"
"Automatic","WinDefend"
"Manual","WinHttpAutoProxySvc"
"Automatic","Winmgmt"
"Automatic","WinRM"
"Manual","wisvc"
"Manual","wlidsvc"
"Manual","wmiApSrv"
"Manual","WPDBusEnum"
"Automatic","WpnService"
"Manual","WpnUserService_11d568"
"Disabled","WSearch"
"Manual","wuauserv"
"Manual","wudfsvc"
"Manual","XblAuthManager"
"Manual","XblGameSave"
