#TYPE Selected.System.ServiceProcess.ServiceController
"StartType","Name"
"Manual","AJRouter"
"Manual","ALG"
"Automatic","AppHostSvc"
"Manual","AppIDSvc"
"Manual","Appinfo"
"Manual","AppMgmt"
"Manual","AppReadiness"
"Disabled","AppVClient"
"Manual","AppXSvc"
"Manual","aspnet_state"
"Manual","AudioEndpointBuilder"
"Manual","Audiosrv"
"Manual","AxInstSV"
"Automatic","BFE"
"Manual","BITS"
"Automatic","BrokerInfrastructure"
"Disabled","Browser"
"Manual","bthserv"
"Automatic","CDPSvc"
"Automatic","CDPUserSvc_2287b"
"Manual","CertPropSvc"
"Manual","ClipSVC"
"Manual","COMSysApp"
"Automatic","CoreMessagingRegistrar"
"Automatic","CryptSvc"
"Disabled","CscService"
"Automatic","DcomLaunch"
"Manual","DcpSvc"
"Manual","defragsvc"
"Manual","DeviceAssociationService"
"Manual","DeviceInstall"
"Manual","DevQueryBroker"
"Automatic","Dhcp"
"Manual","diagnosticshub.standardcollector.service"
"Automatic","DiagTrack"
"Manual","DmEnrollmentSvc"
"Manual","dmwappushservice"
"Automatic","Dnscache"
"Manual","dot3svc"
"Automatic","DPS"
"Manual","DsmSvc"
"Manual","DsSvc"
"Manual","Eaphost"
"Manual","EFS"
"Manual","embeddedmode"
"Manual","EntAppSvc"
"Automatic","EventLog"
"Automatic","EventSystem"
"Manual","fdPHost"
"Manual","FDResPub"
"Automatic","FontCache"
"Manual","FrameServer"
"Automatic","gpsvc"
"Manual","hidserv"
"Manual","HvHost"
"Manual","icssvc"
"Manual","IKEEXT"
"Automatic","iphlpsvc"
"Manual","KeyIso"
"Manual","KPSSVC"
"Manual","KtmRm"
"Automatic","LanmanServer"
"Automatic","LanmanWorkstation"
"Manual","lfsvc"
"Manual","LicenseManager"
"Manual","lltdsvc"
"Manual","lmhosts"
"Automatic","LSM"
"Automatic","MapsBroker"
"Automatic","MpsSvc"
"Automatic","MSDTC"
"Manual","MSiSCSI"
"Manual","msiserver"
"Manual","NcaSvc"
"Manual","NcbService"
"Manual","Netlogon"
"Manual","Netman"
"Manual","netprofm"
"Manual","NetSetupSvc"
"Disabled","NetTcpPortSharing"
"Manual","NgcCtnrSvc"
"Manual","NgcSvc"
"Automatic","NlaSvc"
"Automatic","nsi"
"Automatic","OneSyncSvc_2287b"
"Automatic","PcaSvc"
"Manual","PerfHost"
"Manual","PhoneSvc"
"Manual","PimIndexMaintenanceSvc_2287b"
"Manual","pla"
"Manual","PlugPlay"
"Manual","PolicyAgent"
"Automatic","Power"
"Manual","PrintNotify"
"Automatic","ProfSvc"
"Manual","QWAVE"
"Manual","RasAuto"
"Manual","RasMan"
"Disabled","RemoteAccess"
"Automatic","RemoteRegistry"
"Manual","RmSvc"
"Automatic","RpcEptMapper"
"Manual","RpcLocator"
"Automatic","RpcSs"
"Manual","RSoPProv"
"Manual","sacsvr"
"Automatic","SamSs"
"Disabled","SCardSvr"
"Manual","ScDeviceEnum"
"Automatic","Schedule"
"Manual","SCPolicySvc"
"Manual","seclogon"
"Automatic","SENS"
"Manual","SensorDataService"
"Manual","SensorService"
"Manual","SensrSvc"
"Manual","SessionEnv"
"Manual","SharedAccess"
"Automatic","ShellHWDetection"
"Manual","smphost"
"Manual","SNMPTRAP"
"Automatic","Spooler"
"Automatic","sppsvc"
"Manual","SSDPSRV"
"Manual","SstpSvc"
"Manual","StateRepository"
"Manual","stisvc"
"Manual","StorSvc"
"Manual","svsvc"
"Manual","swprv"
"Manual","SysMain"
"Automatic","SystemEventsBroker"
"Manual","TabletInputService"
"Manual","TapiSrv"
"Manual","TermService"
"Automatic","Themes"
"Manual","TieringEngineService"
"Automatic","tiledatamodelsvc"
"Manual","TimeBrokerSvc"
"Automatic","TrkWks"
"Manual","TrustedInstaller"
"Disabled","tzautoupdate"
"Automatic","UALSVC"
"Disabled","UevAgentService"
"Manual","UI0Detect"
"Manual","UmRdpService"
"Manual","UnistoreSvc_2287b"
"Manual","upnphost"
"Manual","UserDataSvc_2287b"
"Automatic","UserManager"
"Manual","UsoSvc"
"Manual","VaultSvc"
"Manual","vds"
"Automatic","VGAuthService"
"Manual","vmicguestinterface"
"Manual","vmicheartbeat"
"Manual","vmickvpexchange"
"Manual","vmicrdv"
"Manual","vmicshutdown"
"Manual","vmictimesync"
"Manual","vmicvmsession"
"Manual","vmicvss"
"Automatic","VMTools"
"Manual","vmvss"
"Automatic","VMware Physical Disk Helper Service"
"Manual","VMwareCAFCommAmqpListener"
"Manual","VMwareCAFManagementAgentHost"
"Manual","VSS"
"Automatic","W32Time"
"Manual","w3logsvc"
"Automatic","W3SVC"
"Manual","WalletService"
"Manual","WAS"
"Automatic","WbioSrvc"
"Automatic","Wcmsvc"
"Manual","WdiServiceHost"
"Manual","WdiSystemHost"
"Manual","WdNisSvc"
"Manual","Wecsvc"
"Manual","WEPHOSTSVC"
"Manual","wercplsupport"
"Manual","WerSvc"
"Manual","WiaRpc"
"Automatic","WinDefend"
"Manual","WinHttpAutoProxySvc"
"Automatic","Winmgmt"
"Automatic","WinRM"
"Manual","wisvc"
"Manual","wlidsvc"
"Manual","wmiApSrv"
"Manual","WMSVC"
"Manual","WPDBusEnum"
"Automatic","WpnService"
"Manual","WpnUserService_2287b"
"Automatic","WSearch"
"Manual","wuauserv"
"Manual","wudfsvc"
"Manual","XblAuthManager"
"Manual","XblGameSave"
