#TYPE Selected.System.ServiceProcess.ServiceController
"StartType","Name"
"Manual","AarSvc_4aca8"
"Manual","AJRouter"
"Manual","ALG"
"Manual","AppIDSvc"
"Manual","Appinfo"
"Manual","AppMgmt"
"Manual","AppReadiness"
"Disabled","AppVClient"
"Manual","AppXSvc"
"Manual","AssignedAccessManagerSvc"
"Automatic","AudioEndpointBuilder"
"Automatic","Audiosrv"
"Manual","autotimesvc"
"Manual","AxInstSV"
"Manual","BcastDVRUserService_4aca8"
"Manual","BDESVC"
"Automatic","BFE"
"Manual","BITS"
"Manual","BluetoothUserService_4aca8"
"Automatic","BrokerInfrastructure"
"Disabled","Browser"
"Disabled","BTAGService"
"Manual","BthAvctpSvc"
"Disabled","bthserv"
"Manual","camsvc"
"Manual","CaptureService_4aca8"
"Manual","cbdhsvc_4aca8"
"Automatic","CDPSvc"
"Automatic","CDPUserSvc_4aca8"
"Manual","CertPropSvc"
"Manual","ClipSVC"
"Manual","COMSysApp"
"Manual","ConsentUxUserSvc_4aca8"
"Automatic","CoreMessagingRegistrar"
"Manual","CredentialEnrollmentManagerUserSvc_4aca8"
"Automatic","CryptSvc"
"Manual","CscService"
"Automatic","DcomLaunch"
"Manual","defragsvc"
"Manual","DeviceAssociationBrokerSvc_4aca8"
"Manual","DeviceAssociationService"
"Manual","DeviceInstall"
"Manual","DevicePickerUserSvc_4aca8"
"Manual","DevicesFlowUserSvc_4aca8"
"Manual","DevQueryBroker"
"Automatic","Dhcp"
"Manual","diagnosticshub.standardcollector.service"
"Manual","diagsvc"
"Automatic","DiagTrack"
"Automatic","DispBrokerDesktopSvc"
"Manual","DisplayEnhancementService"
"Manual","DmEnrollmentSvc"
"Manual","dmwappushservice"
"Automatic","Dnscache"
"Automatic","DoSvc"
"Manual","dot3svc"
"Automatic","DPS"
"Manual","DsmSvc"
"Manual","DsSvc"
"Automatic","DusmSvc"
"Manual","Eaphost"
"Manual","EFS"
"Manual","embeddedmode"
"Manual","EntAppSvc"
"Automatic","EventLog"
"Automatic","EventSystem"
"Manual","Fax"
"Manual","fdPHost"
"Manual","FDResPub"
"Manual","fhsvc"
"Automatic","FontCache"
"Manual","FrameServer"
"Automatic","gpsvc"
"Manual","GraphicsPerfSvc"
"Manual","hidserv"
"Disabled","icssvc"
"Manual","IKEEXT"
"Disabled","InstallService"
"Automatic","iphlpsvc"
"Manual","IpxlatCfgSvc"
"Manual","KeyIso"
"Manual","KtmRm"
"Disabled","LanmanServer"
"Automatic","LanmanWorkstation"
"Disabled","lfsvc"
"Manual","LicenseManager"
"Disabled","lltdsvc"
"Manual","lmhosts"
"Automatic","LSM"
"Manual","LxpSvc"
"Disabled","MapsBroker"
"Manual","MessagingService_4aca8"
"Manual","MozillaMaintenance"
"Automatic","mpssvc"
"Manual","MSDTC"
"Disabled","MSiSCSI"
"Manual","msiserver"
"Manual","NaturalAuthentication"
"Manual","NcaSvc"
"Manual","NcbService"
"Manual","NcdAutoSetup"
"Manual","Netlogon"
"Manual","Netman"
"Manual","netprofm"
"Manual","NetSetupSvc"
"Disabled","NetTcpPortSharing"
"Manual","NgcCtnrSvc"
"Manual","NgcSvc"
"Automatic","NlaSvc"
"Automatic","nsi"
"Automatic","OneSyncSvc_4aca8"
"Disabled","p2pimsvc"
"Disabled","p2psvc"
"Manual","PcaSvc"
"Manual","PeerDistSvc"
"Manual","perceptionsimulation"
"Manual","PhoneSvc"
"Manual","PimIndexMaintenanceSvc_4aca8"
"Manual","pla"
"Manual","PlugPlay"
"Disabled","PNRPAutoReg"
"Disabled","PNRPsvc"
"Manual","PolicyAgent"
"Automatic","Power"
"Manual","PrintNotify"
"Manual","PrintWorkflowUserSvc_4aca8"
"Automatic","ProfSvc"
"Disabled","PushToInstall"
"Manual","QWAVE"
"Disabled","RasAuto"
"Disabled","RasMan"
"Disabled","RemoteAccess"
"Disabled","RemoteRegistry"
"Manual","RetailDemo"
"Manual","RmSvc"
"Automatic","RpcEptMapper"
"Disabled","RpcLocator"
"Automatic","RpcSs"
"Automatic","SamSs"
"Manual","SCardSvr"
"Manual","ScDeviceEnum"
"Automatic","Schedule"
"Manual","SCPolicySvc"
"Manual","SDRSVC"
"Manual","seclogon"
"Manual","SecurityHealthService"
"Manual","SEMgrSvc"
"Automatic","SENS"
"Manual","Sense"
"Manual","SensorDataService"
"Manual","SensorService"
"Manual","SensrSvc"
"Disabled","SessionEnv"
"Disabled","SharedAccess"
"Manual","SharedRealitySvc"
"Automatic","ShellHWDetection"
"Disabled","shpamsvc"
"Manual","smphost"
"Manual","SmsRouter"
"Manual","SNMPTRAP"
"Manual","spectrum"
"Automatic","Spooler"
"Automatic","sppsvc"
"Disabled","SSDPSRV"
"Disabled","ssh-agent"
"Manual","SstpSvc"
"Manual","StateRepository"
"Manual","StiSvc"
"Manual","StorSvc"
"Manual","svsvc"
"Manual","swprv"
"Automatic","SysMain"
"Automatic","SystemEventsBroker"
"Manual","TabletInputService"
"Manual","tapisrv"
"Disabled","TermService"
"Automatic","Themes"
"Manual","TieringEngineService"
"Manual","TimeBrokerSvc"
"Manual","TokenBroker"
"Automatic","TrkWks"
"Manual","TroubleshootingSvc"
"Manual","TrustedInstaller"
"Disabled","tzautoupdate"
"Disabled","UevAgentService"
"Disabled","UmRdpService"
"Manual","UnistoreSvc_4aca8"
"Disabled","upnphost"
"Manual","UserDataSvc_4aca8"
"Automatic","UserManager"
"Automatic","UsoSvc"
"Manual","VacSvc"
"Manual","VaultSvc"
"Manual","vds"
"Manual","vmicguestinterface"
"Manual","vmicheartbeat"
"Manual","vmickvpexchange"
"Manual","vmicrdv"
"Manual","vmicshutdown"
"Manual","vmictimesync"
"Manual","vmicvmsession"
"Manual","vmicvss"
"Manual","VSS"
"Manual","W32Time"
"Manual","WaaSMedicSvc"
"Manual","WalletService"
"Manual","WarpJITSvc"
"Manual","wbengine"
"Manual","WbioSrvc"
"Automatic","Wcmsvc"
"Manual","wcncsvc"
"Manual","WdiServiceHost"
"Manual","WdiSystemHost"
"Manual","WdNisSvc"
"Manual","WebClient"
"Disabled","Wecsvc"
"Manual","WEPHOSTSVC"
"Disabled","wercplsupport"
"Disabled","WerSvc"
"Manual","WFDSConMgrSvc"
"Manual","WiaRpc"
"Automatic","WinDefend"
"Manual","WinHttpAutoProxySvc"
"Automatic","winmgmt"
"Disabled","WinRM"
"Manual","wisvc"
"Manual","Wlansvc"
"Manual","wlidsvc"
"Manual","wlpasvc"
"Manual","WManSvc"
"Manual","wmiApSrv"
"Disabled","WMPNetworkSvc"
"Manual","workfolderssvc"
"Manual","WpcMonSvc"
"Manual","WPDBusEnum"
"Disabled","WpnService"
"Automatic","WpnUserService_4aca8"
"Automatic","wscsvc"
"Automatic","WSearch"
"Manual","wuauserv"
"Manual","WwanSvc"
"Disabled","XblAuthManager"
"Disabled","XblGameSave"
"Disabled","XboxGipSvc"
"Disabled","XboxNetApiSvc"
